sport:,game:,book:,direction:,type:,value:,prob:,price:
NCAAB, Navy  Midshipmen  vs  Lehigh  Mountain  Hawks ,fanduel,over,spreads,1.33,51.66,-104
NCAAB, Loyola  (Chi)  Ramblers  vs  Massachusetts  Minutemen ,betonlineag,over,spreads,1.84,51.67,-103
NCAAB, Loyola  (Chi)  Ramblers  vs  Massachusetts  Minutemen ,lowvig,over,spreads,2.39,51.45,101
NCAAB, Loyola  (Chi)  Ramblers  vs  Massachusetts  Minutemen ,fanduel,over,spreads,3.24,52.13,-102
NCAAB, Rutgers  Scarlet  Knights  vs  Nebraska  Cornhuskers ,lowvig,over,spreads,1.91,51.21,-101
NCAAB, Rutgers  Scarlet  Knights  vs  Nebraska  Cornhuskers ,fanduel,over,spreads,3.24,52.13,-102
NCAAB, St.  Bonaventure  Bonnies  vs  Rhode  Island  Rams ,betonlineag,over,spreads,4.76,52.38,100
NCAAB, St.  Bonaventure  Bonnies  vs  Rhode  Island  Rams ,lowvig,over,spreads,0.88,51.43,104
NCAAB, UNC  Greensboro  Spartans  vs  The  Citadel  Bulldogs ,lowvig,over,spreads,1.91,51.21,-101
NCAAB, Southern  Miss  Golden  Eagles  vs  Arkansas  St  Red  Wolves ,lowvig,over,spreads,0.94,50.97,-102
NCAAB, Evansville  Purple  Aces  vs  Valparaiso  Beacons ,fanduel,over,spreads,1.33,51.66,-104
NCAAB, Texas  State  Bobcats  vs  Louisiana  Ragin'  Cajuns ,betonlineag,over,spreads,0.88,51.43,-104
NCAAB, Texas  State  Bobcats  vs  Louisiana  Ragin'  Cajuns ,lowvig,over,spreads,2.92,51.46,100
NCAAB, UIC  Flames  vs  Murray  St  Racers ,fanduel,over,spreads,3.24,52.13,-102
NCAAB, UIC  Flames  vs  Murray  St  Racers ,wynnbet,over,spreads,3.76,52.14,-101
NCAAB, Oklahoma  Sooners  vs  West  Virginia  Mountaineers ,draftkings,over,spreads,3.67,52.35,102
NCAAB, Oklahoma  Sooners  vs  West  Virginia  Mountaineers ,lowvig,over,spreads,0.88,51.43,104
NCAAB, Oklahoma  Sooners  vs  West  Virginia  Mountaineers ,betonlineag,over,spreads,4.76,52.38,100
NCAAB, UAB  Blazers  vs  Tulane  Green  Wave ,lowvig,over,spreads,1.91,51.21,-101
NCAAB, UAB  Blazers  vs  Tulane  Green  Wave ,fanduel,over,spreads,3.24,52.13,-102
NCAAB, UAB  Blazers  vs  Tulane  Green  Wave ,wynnbet,over,spreads,3.76,52.14,-101
NCAAB, Tulsa  Golden  Hurricane  vs  UTSA  Roadrunners ,lowvig,over,spreads,1.91,51.21,-101
NCAAB, Tulsa  Golden  Hurricane  vs  UTSA  Roadrunners ,fanduel,over,spreads,3.24,52.13,-102
NCAAB, Arizona  St  Sun  Devils  vs  UCLA  Bruins ,draftkings,over,spreads,4.76,52.38,100
NCAAB, Arizona  St  Sun  Devils  vs  UCLA  Bruins ,betonlineag,over,spreads,4.76,52.38,100
NCAAB, Arizona  St  Sun  Devils  vs  UCLA  Bruins ,lowvig,over,spreads,0.88,51.43,104
NCAAB, Arizona  St  Sun  Devils  vs  UCLA  Bruins ,fanduel,over,spreads,1.33,51.66,-104
NCAAB, Vanderbilt  Commodores  vs  Auburn  Tigers ,lowvig,over,spreads,1.91,51.21,-101
NCAAB, Vanderbilt  Commodores  vs  Auburn  Tigers ,bovada,over,spreads,4.76,52.38,100
NCAAB, North  Carolina  Tar  Heels  vs  Louisville  Cardinals ,fanduel,over,spreads,1.33,51.66,-104
NCAAB, Michigan  St  Spartans  vs  Minnesota  Golden  Gophers ,fanduel,over,spreads,3.24,52.13,-102
